,dem_0,dem_1,dem_2,dem_3,dem_4,dem_5,dem_6,dem_7,dem_8,dem_9
dc_0,350.2345997745988,3652.005777174766,913.4139190839776,1868.744156494597,1932.8878977683082,41.800568348719565,1498.3523164000499,223.40185125962344,852.7754340689792,3143.723854557175
dc_1,4116.348967688389,507.46097091411633,2972.0585360454133,2349.766000427714,2605.5460071874013,3902.461840125646,4135.846506394252,4036.2894159815264,3410.7898077140712,1006.4770938550123
dc_2,1144.2912739463475,2803.971506975193,0.0,1294.9552776442583,1515.8051067847969,955.1837028546345,1917.3098921292537,1068.0026386569643,947.5066414250604,2336.340987950822
dc_3,2205.727217445014,1991.9875978070343,1294.9552776442583,0.0,361.775964586609,1902.246536647114,1786.6413084052758,2087.985206983935,1158.0982472380279,1423.5288012935184
dc_4,3865.528350396787,1545.3056553874057,2788.857262667812,2703.3266558732644,3040.5002905851675,3736.2550666634033,4396.095052931443,3819.254888078863,3505.682261924372,1793.5804038732035
dc_5,3443.6976589600267,574.2658263592998,2336.340987950822,1423.5288012935184,1632.1668815292296,3182.5901531562376,3184.6442165813946,3344.0706669127894,2556.6762086039043,0.0
