,dem_0,dem_1,dem_2,dem_3,dem_4,dem_5,dem_6,dem_7,dem_8,dem_9
dc_0,0.08791083844100477,0.9166738239724068,0.22927198946658822,0.4690652086769729,0.485165645583389,0.01049217585358903,0.37609479046194255,0.05607511098602346,0.21405139143632065,0.7890922257794374
dc_1,1.0332265552807782,0.12737553473545132,0.7460032731421954,0.5898043750409279,0.6540065836895343,0.9795396930236513,1.0381205462693084,1.0131311611641183,0.8561272699360645,0.2526313655172944
dc_2,0.2872234935614283,0.7038124911174312,0.0,0.32504099901773126,0.38047553821457936,0.23975643821934176,0.48125547926101725,0.26807462050283876,0.23782945297153557,0.5864346220134312
dc_3,0.5536498369450904,0.49999999999999994,0.32504099901773126,0.0,0.09080778539607517,0.4774744929991743,0.44845693576912254,0.5240959354572748,0.29068912088432936,0.3573136707428981
dc_4,0.9702691810562277,0.3878803404922355,0.7000187314765528,0.6785500720108243,0.7631825353562526,0.9378208656461067,1.1034443833312704,0.9586542838628751,0.8799458053312565,0.45019868744357244
dc_5,0.8643873241859462,0.14414392614479757,0.5864346220134312,0.3573136707428981,0.40968299283742304,0.7988478835560847,0.7993634649350597,0.8393803933805246,0.641739991609017,0.0
